Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"3,017,000","154,000","51,000","73,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"3,017,000","154,000","51,000","73,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,134,000","1,983,000","1,611,000","2,139,000","2,932,000","2,741,000","2,542,000","2,452,000","2,015,000","2,147,000","1,595,000","1,567,000","1,495,000","1,915,000","1,282,000","1,794,000","1,719,000","1,372,000","781,000","777,000",Financials in USD,Fiscal year is January - December
Research & Development,"2,614,000","2,752,000","2,836,000","2,298,000","2,830,000","2,936,000","3,852,000","4,073,000","4,068,000","4,112,000","4,804,000","6,154,000","4,417,000","5,111,000","3,893,000","2,856,000","2,966,000","2,570,000","2,510,000","2,946,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,748,000","4,735,000","4,447,000","4,437,000","5,762,000","5,677,000","6,394,000","6,525,000","6,083,000","6,259,000","6,399,000","7,721,000","5,912,000","7,026,000","5,175,000","4,650,000","4,685,000","3,942,000","3,291,000","3,723,000",Financials in USD,Fiscal year is January - December
Operating Income,"-1,731,000","-4,581,000","-4,396,000","-4,364,000","-5,762,000","-5,677,000","-6,394,000","-6,525,000","-6,083,000","-6,259,000","-6,399,000","-7,721,000","-5,912,000","-7,026,000","-5,175,000","-4,650,000","-4,685,000","-3,942,000","-3,291,000","-3,723,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-384,000","-225,000","-246,000","-297,000","-200,000","-221,000","-326,000","-346,000","-400,000","-225,000","-158,000","-159,000","-51,000",-,-,"-144,000","-3,000",-,-,"-39,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"84,000","41,000","5,618,000","73,000","72,000","47,000","285,000",-,"203,000","39,000","19,000",-,-,-,"872,000",-,"100,000",-,-,"9,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"8,000",-,"-57,000",-,-,-,"-487,000","500,000","1,100,000","500,000","833,000","288,000","-462,000","-197,000","22,000",-,"6,000","12,000","-28,000",Financials in USD,Fiscal year is January - December
