Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"645,677,000","502,547,000","160,096,000","7,596,000","5,213,000","3,485,000",Upgrade,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),80.921%,213.904%,2007.636%,45.713%,49.584%,1687.179%,Upgrade,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"240,329,000","188,157,000","65,170,000","2,548,000","2,024,000","2,543,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gross Profit,"405,348,000","314,390,000","94,926,000","5,048,000","3,189,000","942,000",Upgrade,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","174,670,000","133,852,000","87,098,000","46,986,000","24,475,000","15,800,000",Upgrade,Financials in AUD,Fiscal year is January - December
Research & Development,"164,308,000","128,844,000","81,008,000","34,135,000","23,085,000","21,162,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Operating Expenses,"-982,000","-193,000","926,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Expenses,"337,996,000","262,503,000","169,032,000","86,295,000","52,442,000","41,198,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Income,"67,352,000","51,887,000","-74,106,000","-81,247,000","-49,253,000","-40,256,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest Expense,"-898,000","-784,000","-323,000","-163,000","-191,000","-116,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"1,939,000","1,019,000","1,000",-,"67,000","98,000",Upgrade,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"549,000","-968,000","-1,117,000","1,698,000","-3,937,000","-453,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-15,429,000","-12,988,000","-6,370,000","14,102,000","12,106,000","11,876,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBT Excluding Unusual Items,"53,513,000","38,166,000","-81,915,000","-65,610,000","-41,208,000","-28,851,000",Upgrade,Financials in AUD,Fiscal year is January - December
Asset Writedown,"-804,000","-804,000",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Other Unusual Items,"-1,292,000","-34,275,000","-16,707,000","-14,855,000","-6,727,000","-2,271,000",Upgrade,Financials in AUD,Fiscal year is January - December
Pretax Income,"50,069,000","3,087,000","-98,622,000","-80,465,000","-47,935,000","-31,122,000",Upgrade,Financials in AUD,Fiscal year is January - December
Income Tax Expense,"884,000","-2,124,000","5,457,000","45,000","-3,048,000","-3,255,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income,"49,185,000","5,211,000","-104,079,000","-80,510,000","-44,887,000","-27,867,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income to Common,"49,185,000","5,211,000","-104,079,000","-80,510,000","-44,887,000","-27,867,000",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Basic),"324,285,805","319,180,783","310,644,169","282,205,557","257,271,000","233,437,000",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Diluted),"334,403,114","323,710,000","310,644,169","282,205,557","257,271,000","233,437,000",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Change (YoY),5.904%,4.206%,10.077%,9.692%,10.210%,15.492%,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Basic),0.152,0.016,-0.335,-0.285,-0.174,-0.119,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Diluted),0.147,0.016,-0.335,-0.285,-0.175,-0.119,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow,"38,347,000","14,205,000","-71,008,000","-60,667,000","1,712,000","-23,736,000",Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Per Share,0.115,0.044,-0.229,-0.215,0.007,-0.102,Upgrade,Financials in AUD,Fiscal year is January - December
Gross Margin,62.779%,62.559%,59.293%,66.456%,61.174%,27.030%,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Margin,10.431%,10.325%,-46.288%,-1069.602%,-944.811%,-1155.122%,Upgrade,Financials in AUD,Fiscal year is January - December
Profit Margin,7.618%,1.037%,-65.010%,-1059.900%,-861.059%,-799.627%,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Margin,5.939%,2.827%,-44.353%,-798.670%,32.841%,-681.090%,Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA,"73,142,000","57,173,000","-69,588,000","-76,729,000","-44,941,000","-36,266,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA Margin,11.328%,11.377%,-43.466%,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
D&A For EBITDA,"5,790,000","5,286,000","4,518,000","4,518,000","4,312,000","3,990,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT,"67,352,000","51,887,000","-74,106,000","-81,247,000","-49,253,000","-40,256,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT Margin,10.431%,10.325%,-46.288%,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
