Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","1,796,991","1,796,991","1,625,974","2,145,741",Financials in USD,Fiscal year is April - March
Research & Development,"954,593","954,593","1,608,895","171,335",Financials in USD,Fiscal year is April - March
Operating Expenses,"2,751,824","2,751,824","3,234,869","2,317,076",Financials in USD,Fiscal year is April - March
Operating Income,"-2,751,824","-2,751,824","-3,234,869","-2,317,076",Financials in USD,Fiscal year is April - March
Interest Expense,"-52,941","-52,941",-,-,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"2,134","2,134","1,554",-,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-2,695","-2,695","26,912","-2,856",Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-4,692,592","-4,692,592",-,-,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-7,497,918","-7,497,918","-3,206,403","-2,319,932",Financials in USD,Fiscal year is April - March
Other Unusual Items,"-43,661,130","-43,661,130",-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-51,159,048","-51,159,048","-3,206,403","-2,319,932",Financials in USD,Fiscal year is April - March
Net Income,"-51,159,048","-51,159,048","-3,206,403","-2,319,932",Financials in USD,Fiscal year is April - March
Net Income to Common,"-51,159,048","-51,159,048","-3,206,403","-2,319,932",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"86,896","86,896","66,667",-,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"86,896","86,896","66,667",-,Financials in USD,Fiscal year is April - March
Shares Change (YoY),30.343%,30.343%,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-588.739,-588.739,-48.096,-,Financials in USD,Fiscal year is April - March
EPS (Diluted),-588.739,-588.739,-48.096,-,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-2,951,094","-2,951,094","-1,592,080","-1,743,377",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-33.961,-33.961,-23.881,-,Financials in USD,Fiscal year is April - March
EBITDA,"-2,751,584","-2,751,584",-,-,Financials in USD,Fiscal year is April - March
D&A For EBITDA,240,240,-,-,Financials in USD,Fiscal year is April - March
EBIT,"-2,751,824","-2,751,824","-3,234,869","-2,317,076",Financials in USD,Fiscal year is April - March
