Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"18,582,000","5,904,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"60,018,000","79,815,000","74,200,000","74,720,000","49,138,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-41,436,000","-73,911,000","-74,200,000","-74,720,000","-49,138,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","55,836,000","64,652,000","66,982,000","44,381,000","31,976,000","21,721,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"40,581,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"55,836,000","64,652,000","66,982,000","44,381,000","31,976,000","62,302,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-97,272,000","-138,563,000","-141,182,000","-119,101,000","-81,114,000","-62,302,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,500,000",-,-,-,-,"975,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,276,000","11,951,000","4,543,000","-50,000","591,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-85,496,000","-126,612,000","-136,639,000","-119,151,000","-80,523,000","-61,327,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"10,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-145,472,000","-126,612,000","-136,639,000","-119,151,000","-80,523,000","-61,317,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-145,472,000","-126,612,000","-136,639,000","-119,151,000","-80,523,000","-61,317,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-145,472,000","-126,612,000","-136,639,000","-119,151,000","-80,523,000","-61,317,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"66,446,134","64,483,520","58,114,893","56,295,409","27,256,494","4,731,519",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"66,446,134","64,483,520","58,114,893","56,295,409","27,256,494","4,731,519",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.774%,10.959%,3.232%,106.539%,476.062%,41.217%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.189,-1.963,-2.351,-2.117,-2.954,-12.959,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.192,-1.963,-2.351,-2.117,-2.954,-12.960,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-104,360,000","-60,142,000","-111,249,000","-97,779,000","-75,660,000","-60,332,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.571,-0.933,-1.914,-1.737,-2.776,-12.751,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-222.990%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-523.474%,-2346.934%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-782.865%,-2144.512%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-561.619%,-1018.665%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-92,192,000","-133,300,000","-136,052,000","-114,569,000","-77,682,000","-60,438,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,080,000","5,263,000","5,130,000","4,532,000","3,432,000","1,864,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-97,272,000","-138,563,000","-141,182,000","-119,101,000","-81,114,000","-62,302,000",Upgrade,Financials in USD,Fiscal year is January - December
