Fiscal Year,TTM,FY 2023,FY 2022,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","28,203,000","18,639,000","3,788,727","1,914,000",Financials in USD,Fiscal year is January - December
Research & Development,"22,081,000","43,999,000","25,842,543","45,000,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"50,284,000","62,638,000","29,631,270","46,914,000",Financials in USD,Fiscal year is January - December
Operating Income,"-50,284,000","-62,638,000","-29,631,270","-46,914,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,242,000","3,578,000","8,727",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-6,453,000","-1,503,000","-195,273",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-47,251,000","-60,563,000","-29,817,816","-46,914,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-47,251,000","-60,563,000","-29,817,816","-46,914,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,"203,000","1,740,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-47,251,000","-60,360,000","-28,077,816","-46,914,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"-4,635,000","8,883,000","7,256,727",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-42,616,000","-69,243,000","-35,334,543","-46,914,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"64,095,972","33,064,036","228,148",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"64,095,972","33,064,036","228,148",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),199.503%,14392.363%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.665,-2.094,-154.876,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.665,-2.094,-154.876,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,335,000","-15,054,000","-1,311,273","-1,680,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.333,-0.455,-5.747,-,Financials in USD,Fiscal year is January - December
EBIT,"-50,284,000","-62,638,000","-29,631,270","-46,914,000",Financials in USD,Fiscal year is January - December
