Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","2,759,000","7,078,000","3,451,000","2,814,000","3,847,000","1,895,000","2,068,000","2,451,000","2,044,000","1,986,000","1,821,000","1,947,000","2,043,000","2,224,000","1,419,000","1,468,000","1,320,000","760,000","673,000","406,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,870,000","5,740,000","4,353,000","3,567,000","6,369,000","7,139,000","4,787,000","2,488,000","1,379,000","1,034,000","693,000","1,352,000","5,656,000","3,523,000","3,322,000","3,025,000","3,688,000","1,937,000","1,354,000","1,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,629,000","12,818,000","7,804,000","6,381,000","10,216,000","9,034,000","6,855,000","4,939,000","3,423,000","3,020,000","2,514,000","3,299,000","7,699,000","5,747,000","4,741,000","4,493,000","5,008,000","2,697,000","2,027,000","1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,629,000","-12,818,000","-7,804,000","-6,381,000","-10,216,000","-9,034,000","-6,855,000","-4,939,000","-3,423,000","-3,020,000","-2,514,000","-3,299,000","-7,699,000","-5,747,000","-4,741,000","-4,493,000","-5,008,000","-2,697,000","-2,027,000","-1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"1,124,000",-,-,-,"162,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"237,000","307,000","384,000","-615,000","261,000","138,000","102,000","-100,000","23,000","-15,000","-53,000","-42,000","-52,000","-65,000","-63,000","-83,000","-92,000","-7,000","-23,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,392,000","-12,511,000","-7,420,000","-5,872,000","-9,955,000","-8,896,000","-6,753,000","-4,877,000","-3,400,000","-3,035,000","-2,567,000","-3,341,000","-7,751,000","-5,812,000","-4,804,000","-4,576,000","-5,100,000","-2,704,000","-2,050,000","-1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,392,000","-12,511,000","-7,420,000","-5,872,000","-9,955,000","-8,896,000","-6,753,000","-4,877,000","-3,400,000","-3,035,000","-2,567,000","-3,341,000","-7,751,000","-5,812,000","-4,804,000","-4,576,000","-5,100,000","-34,761,000","-2,050,000","-1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,392,000","-12,511,000","-7,420,000","-5,872,000","-9,955,000","-8,896,000","-6,753,000","-4,877,000","-3,400,000","-3,035,000","-2,567,000","-3,341,000","-7,751,000","-5,812,000","-4,804,000","-4,576,000","-5,100,000","-34,761,000","-2,050,000","-1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,392,000","-12,511,000","-7,420,000","-5,872,000","-9,955,000","-8,896,000","-6,753,000","-4,877,000","-3,400,000","-3,035,000","-2,567,000","-3,341,000","-7,751,000","-5,812,000","-4,804,000","-4,576,000","-5,100,000","-34,761,000","-2,050,000","-1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,847,644","1,845,246","1,843,314","1,847,308","1,514,509","841,873","840,267","841,591","757,098","590,450","590,392","590,525","569,649","544,127","530,117","494,439","448,362","146,017","84,632","84,331",Upgrade,Financials in USD,Fiscal year is January - December
