Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","4,309,938","3,718,841","4,245,681","4,845,252","9,811,381","1,377,879",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,513,285","1,728,078","8,069,628","10,795,688","194,013","800,620",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,823,223","5,446,919","12,315,309","15,640,940","10,005,394","2,178,499",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,823,223","-5,446,919","-12,315,309","-15,640,940","-10,005,394","-2,178,499",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-384,222","-295,128",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"98,198","150,904","67,475","5,672",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"43,221",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,725,025","-5,296,015","-12,247,834","-15,635,268","-10,346,395","-2,473,627",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-325,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,725,025","-5,296,015","-12,247,834","-15,960,268","-10,346,395","-2,473,627",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,725,025","-5,296,015","-12,247,834","-15,960,268","-10,346,395","-2,473,627",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,725,025","-5,296,015","-12,247,834","-15,960,268","-10,346,395","-2,473,627",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"892,287","751,072","442,805","333,172","197,079","193,300",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"892,287","751,072","442,805","333,172","197,079","193,300",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.167%,69.617%,32.906%,69.055%,1.955%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.416,-7.051,-27.660,-47.904,-52.499,-12.797,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.416,-7.051,-27.660,-48.000,-52.499,-12.797,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,128,468","-4,870,489","-11,467,797","-15,689,578","-3,895,195","-2,092,150",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.627,-6.485,-25.898,-47.092,-19.765,-10.823,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-5,823,223","-5,446,919","-12,315,309","-15,640,940","-10,005,394","-2,178,499",Upgrade,Financials in USD,Fiscal year is January - December
