Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","67,547,000","73,299,000","58,361,000","50,410,000","28,270,000","21,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"229,215,000","253,601,000","204,367,000","274,657,000","232,086,000","101,515,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"296,762,000","326,900,000","262,728,000","325,067,000","260,356,000","123,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-296,762,000","-326,900,000","-262,728,000","-325,067,000","-260,356,000","-123,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,541,000","9,938,000","3,762,000","676,000","747,000","2,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,872,000","-52,000","-674,000","305,000","97,000","-29,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-290,093,000","-317,014,000","-259,640,000","-324,086,000","-259,512,000","-120,465,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-8,700,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-7,014,000","-7,014,000","-4,500,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-8,700,000","40,773,000","3,364,000","-31,842,000","-25,793,000","-17,860,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-305,807,000","-283,255,000","-269,476,000","-355,928,000","-285,305,000","-138,325,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-7,547,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-305,807,000","-283,255,000","-269,476,000","-355,928,000","-285,305,000","-130,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-305,807,000","-283,255,000","-269,476,000","-355,928,000","-285,305,000","-130,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"221,144,250","194,541,000","188,344,000","166,433,000","13,014,000","4,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"221,144,250","194,541,000","188,344,000","166,433,000","13,014,000","4,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.693%,3.290%,13.165%,1178.877%,165.429%,415.021%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.383,-1.456,-1.431,-2.139,-21.923,-26.673,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.383,-1.456,-1.431,-2.139,-21.923,-26.673,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-274,991,000","-273,614,000","-310,926,000","-280,916,000","-161,854,000","-111,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.243,-1.406,-1.651,-1.688,-12.437,-22.770,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-273,800,000","-302,343,000","-247,103,000","-313,997,000","-254,435,000","-121,466,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"22,962,000","24,557,000","15,625,000","11,070,000","5,921,000","1,826,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-296,762,000","-326,900,000","-262,728,000","-325,067,000","-260,356,000","-123,292,000",Upgrade,Financials in USD,Fiscal year is January - December
