Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","1,766,010","733,740","970,384","839,805","900,089","919,374","1,059,573","818,002","969,946","1,265,621","1,192,112","1,269,151","1,150,369","1,075,256","1,350,476","6,389,583","2,554,724","515,060","352,014","306,183",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"535,162","336,084","343,717","298,321","374,200","557,843","497,714","1,271,714","1,622,374","2,406,438","2,769,102","2,918,407","2,961,122","3,209,201","1,706,957","32,069","108,086","23,320","30,539","259,547",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,301,172","1,069,824","1,314,101","1,138,126","1,274,289","1,477,217","1,557,287","2,089,716","2,592,320","3,672,059","3,961,214","4,187,558","4,111,491","4,284,457","3,057,433","6,421,652","2,662,810","538,380","382,553","565,730",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,301,172","-1,069,824","-1,314,101","-1,138,126","-1,274,289","-1,477,217","-1,557,287","-2,089,716","-2,592,320","-3,672,059","-3,961,214","-4,187,558","-4,111,491","-4,284,457","-3,057,433","-6,421,652","-2,662,810","-538,380","-382,553","-565,730",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-79,576","-104,440","-116,205","-84,000","-72,859",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"20,488","19,991","22,766","34,953","39,215","36,313","40,423","45,160","16,605","4,804",906,"1,267","1,509","1,495","1,400",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"43,221",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,280,684","-1,049,833","-1,291,335","-1,103,173","-1,235,074","-1,440,904","-1,516,864","-2,044,556","-2,575,715","-3,667,255","-3,960,308","-4,186,291","-4,109,982","-4,282,962","-3,056,033","-6,501,228","-2,724,029","-654,585","-466,553","-638,589",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,"-325,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,280,684","-1,049,833","-1,291,335","-1,103,173","-1,235,074","-1,440,904","-1,516,864","-2,044,556","-2,575,715","-3,667,255","-3,960,308","-4,511,291","-4,109,982","-4,282,962","-3,056,033","-6,501,228","-2,724,029","-654,585","-466,553","-638,589",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,280,684","-1,049,833","-1,291,335","-1,103,173","-1,235,074","-1,440,904","-1,516,864","-2,044,556","-2,575,715","-3,667,255","-3,960,308","-4,511,291","-4,109,982","-4,282,962","-3,056,033","-6,501,228","-2,724,029","-654,585","-466,553","-638,589",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,280,684","-1,049,833","-1,291,335","-1,103,173","-1,235,074","-1,440,904","-1,516,864","-2,044,556","-2,575,715","-3,667,255","-3,960,308","-4,511,291","-4,109,982","-4,282,962","-3,056,033","-6,501,228","-2,724,029","-654,585","-466,553","-638,589",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,110,317","916,032","770,317","770,317","763,750","736,456","733,216","733,216","367,998","333,216","333,216","333,216","333,216","333,216","333,040","208,501","193,300","193,300","193,300","193,300",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,110,317","916,032","770,317","770,317","763,750","736,456","733,216","733,216","367,998","333,216","333,216","333,216","333,216","333,216","333,040","208,501","193,300","193,300","193,300","193,300",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.377%,24.384%,5.060%,5.060%,107.542%,121.015%,120.042%,120.042%,10.438%,-,0.053%,59.815%,72.383%,72.383%,72.292%,7.864%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.054,-1.146,-1.676,-1.432,-1.617,-1.957,-2.069,-2.788,-6.999,-11.006,-11.885,-13.539,-12.334,-12.853,-9.176,-31.181,-14.092,-3.386,-2.414,-3.304,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.054,-1.146,-1.676,-1.432,-1.617,-1.957,-2.069,-2.788,-6.999,-11.006,-11.885,-13.750,-12.334,-12.853,-9.176,-31.181,-14.092,-3.386,-2.414,-3.304,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-910,137","-811,746","-937,414","-1,469,171","-960,454","-742,414","-1,698,450","-2,671,410","-2,483,243","-3,657,127","-2,656,017","-5,178,140","-2,648,768","-2,750,468","-5,112,202","-2,286,361","-558,890","-772,565","-277,379","-471,714",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.820,-0.886,-1.217,-1.907,-1.258,-1.008,-2.316,-3.643,-6.748,-10.975,-7.971,-15.540,-7.949,-8.254,-15.350,-10.966,-2.891,-3.997,-1.435,-2.440,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,301,172","-1,069,824","-1,314,101","-1,138,126","-1,274,289","-1,477,217","-1,557,287","-2,089,716","-2,592,320","-3,672,059","-3,961,214","-4,187,558","-4,111,491","-4,284,457","-3,057,433","-6,421,652","-2,662,810","-538,380","-382,553","-565,730",Upgrade,Financials in USD,Fiscal year is January - December
