Fiscal Year,TTM,FY 2013,FY 2012,Currency,Fiscal_Year_period
Period Ending,"Dec '13 Dec 31, 2013","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012",,
"Selling, General & Admin","236,000","236,000","166,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,122,000","1,122,000","787,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,358,000","1,358,000","953,000",Financials in USD,Fiscal year is January - December
Operating Income,"-1,358,000","-1,358,000","-953,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,000","-3,000","-4,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,000","4,000","6,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,000","2,000","13,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-1,355,000","-1,355,000","-938,000",Financials in USD,Fiscal year is January - December
Net Income,"-1,355,000","-1,355,000","-938,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,355,000","-1,355,000","-938,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,565","16,565","14,268",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,565","16,565","14,268",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,16.099%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-81.799,-81.799,-65.742,Financials in USD,Fiscal year is January - December
EPS (Diluted),-81.799,-81.799,-65.742,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-799,000","-799,000","-914,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-48.234,-48.234,-64.059,Financials in USD,Fiscal year is January - December
EBITDA,"-1,355,000","-1,355,000","-951,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,000","3,000","2,000",Financials in USD,Fiscal year is January - December
EBIT,"-1,358,000","-1,358,000","-953,000",Financials in USD,Fiscal year is January - December
