Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","780,958","1,502,288","1,689,182","-177,489","4,619,519","1,948,700","1,665,451","-255,607","4,910,039","2,645,618","1,782,413","2,372,271","1,551,570","1,988,972","1,273,572","582,595","810,674","1,061,850","448,985","508,934",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,143,396","1,956,094","1,613,275","1,095,588","1,495,619","1,290,787","1,235,614","1,357,690","2,805,103","3,258,471","3,341,406","1,749,346","1,698,204","316,565","1,075,000","104,282","851,780","168,673","166,880","154,372",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,924,354","3,458,382","3,302,457","918,099","6,115,138","3,239,487","2,901,065","1,102,083","7,715,142","5,904,089","5,123,819","4,121,617","3,249,774","2,305,537","2,348,572","686,877","1,662,454","1,230,523","615,865","663,306",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,924,354","-3,458,382","-3,302,457","-918,099","-6,115,138","-3,239,487","-2,901,065","-1,102,083","-7,715,142","-5,904,089","-5,123,819","-4,121,617","-3,249,774","-2,305,537","-2,348,572","-686,877","-1,662,454","-1,230,523","-615,865","-663,306",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-92,748","-11,002",-,-,-,-,-,-,-,-,-,-,"-28,892","-34,049","-30,699","-18,334","-45,709","-43,261","-40,630","-36,707",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,818,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"10,646","19,128","82,033","122,390","120,640","126,720","130,531","114,970","73,252","19,374","-13,183","-58,646","62,922","-3,833",-,-,-,"4,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,006,456","-3,450,256","-3,220,424","-795,709","-5,994,498","-3,112,767","-2,770,534","-987,113","-7,641,890","-5,884,715","-5,137,002","-4,179,445","-3,215,744","-2,343,419","-2,379,271","-705,211","-1,708,163","-1,269,784","-656,495","-700,013",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-4,000,000",-,-,-,"-2,000,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
