Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","1,412,000","1,361,000","1,251,000","1,411,000","1,454,000","1,860,000","1,994,000","1,957,000","2,520,000","3,166,000","3,255,000","4,037,000","2,588,000","3,188,000","2,779,000","2,882,000","2,500,000","2,933,000","1,003,000","1,094,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,974,000","4,760,000","5,050,000","4,588,000","3,806,000","3,960,000","3,794,000","4,655,000","6,240,000","8,398,000","8,697,000","9,617,000","7,476,000","7,442,000","6,018,000","5,006,000","4,176,000","4,339,000","3,433,000","3,314,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,386,000","6,121,000","6,301,000","5,999,000","5,260,000","5,820,000","5,788,000","6,612,000","8,760,000","11,564,000","11,952,000","13,654,000","10,064,000","10,630,000","8,797,000","7,888,000","6,676,000","7,272,000","4,436,000","4,408,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,386,000","-6,121,000","-6,301,000","-5,999,000","-5,260,000","-5,820,000","-5,788,000","-6,612,000","-8,760,000","-11,564,000","-11,952,000","-13,654,000","-10,064,000","-10,630,000","-8,797,000","-7,888,000","-6,676,000","-7,272,000","-4,436,000","-4,408,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-354,000","-171,000","-140,000","-1,037,000","-319,000","-7,000","-255,000","-383,000","-437,000","-281,000",-,-,-,-,-,-,-,"-9,721,000","-1,433,000","-11,062,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"548,000",-,-,-,"267,000",-,-,"78,000","76,000","129,000","153,000","110,000","11,393,000","218,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"33,000",-,-,-,"532,000",-,-,-,"44,000",-,-,-,"243,000",-,-,-,"245,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"108,000",-,-,-,"-316,000",-,-,-,"32,000",-,-,-,"-11,297,000",-,-,-,"11,365,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,740,000","-6,292,000","-6,441,000","-6,347,000","-5,579,000","-5,827,000","-6,043,000","-6,512,000","-9,197,000","-11,845,000","-11,874,000","-13,502,000","-9,935,000","-10,477,000","-8,687,000","-7,549,000","-6,458,000","-16,993,000","-5,869,000","-3,860,000",Upgrade,Financials in USD,Fiscal year is January - December
