Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","1,742,000","2,010,000","1,977,000","1,802,000","1,601,000","1,442,000","1,883,000","1,915,000","2,533,000","2,237,000","1,955,000","2,581,000","2,070,000","1,914,000","2,187,000","1,736,000","1,795,000","1,718,000","2,597,000","-1,384,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,517,000","8,074,000","4,904,000","3,865,000","2,292,000","2,364,000","637,000","305,000","571,000","982,000","920,000","1,997,000","1,394,000","2,012,000","1,143,000","440,000","1,265,000","674,000","2,152,000","1,426,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,259,000","10,084,000","6,881,000","5,667,000","3,893,000","3,806,000","2,520,000","2,220,000","3,104,000","3,219,000","2,875,000","4,578,000","3,464,000","3,926,000","3,330,000","2,176,000","3,060,000","2,392,000","4,749,000","42,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,259,000","-10,084,000","-6,881,000","-5,667,000","-3,893,000","-3,806,000","-2,520,000","-2,220,000","-3,104,000","-3,219,000","-2,875,000","-4,578,000","-3,464,000","-3,926,000","-3,330,000","-2,176,000","-3,060,000","-2,392,000","-4,749,000","-42,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,"-2,191,000",-,-,-,-,-,-,-,-,-,-,-,"-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"310,000","164,000","237,000","299,000","162,000",-,-,-,-,-,-,-,"3,000","5,000","6,000","5,000","6,000","8,000","20,000","65,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,"-8,000",-,-,-,-,-,-,-,-,-,-,"-1,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"297,000","-133,000","-70,000","54,000","-87,000","3,072,000","-84,000","7,953,000","-9,000","-9,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,652,000","-10,053,000","-6,714,000","-5,314,000","-3,818,000","-734,000","-2,604,000","3,534,000","-3,113,000","-3,228,000","-2,875,000","-4,578,000","-3,461,000","-3,921,000","-3,324,000","-2,171,000","-3,054,000","-2,384,000","-4,730,000","-61,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"-75,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,114,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,652,000","-10,053,000","-6,714,000","-5,314,000","-3,818,000","-734,000","-2,604,000","-4,676,000","-3,113,000","-3,303,000","-2,875,000","-4,578,000","-3,461,000","-3,921,000","-3,324,000","-19,510,000","-3,054,000","-2,384,000","-4,730,000","-13,326,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,652,000","-10,053,000","-6,714,000","-5,314,000","-3,818,000","-734,000","-2,604,000","-4,676,000","-3,113,000","-3,303,000","-2,875,000","-4,578,000","-3,461,000","-3,921,000","-3,324,000","-19,510,000","-3,054,000","-2,384,000","-4,730,000","-13,326,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,652,000","-10,053,000","-6,714,000","-5,314,000","-3,818,000","-734,000","-2,604,000","-4,676,000","-3,113,000","-3,303,000","-2,875,000","-4,578,000","-3,461,000","-3,921,000","-3,324,000","-19,510,000","-3,054,000","-2,384,000","-4,730,000","-13,326,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,214,087","5,428,906","5,089,408","5,090,394","5,075,817","5,059,003","5,059,003","953,551","111,087","111,087","111,087","110,273","92,851","91,667","90,065","68,601","68,447","67,932","65,295","22,484",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,214,087","5,428,906","5,089,408","5,090,394","5,075,817","5,059,003","5,059,003","953,551","111,087","111,087","111,087","110,273","92,851","91,667","90,065","68,601","68,447","67,932","65,295","22,484",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),101.230%,7.312%,0.601%,433.836%,4469.227%,4454.091%,4454.091%,764.718%,19.640%,21.185%,23.341%,60.745%,35.654%,34.939%,37.936%,205.110%,217.944%,215.552%,203.303%,-18.947%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.553,-1.852,-1.319,-1.044,-0.752,-0.145,-0.515,-4.904,-28.023,-29.733,-25.881,-41.515,-37.275,-42.774,-36.907,-284.398,-44.618,-35.094,-72.440,-592.688,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.553,-1.852,-1.320,-1.045,-0.752,-0.145,-0.515,-4.905,-28.023,-29.733,-25.881,-41.515,-37.275,-42.774,-36.907,-284.441,-45.600,-35.094,-72.440,-592.688,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,589,000","-7,254,000","-6,447,000","-3,402,000","-2,851,000","-2,045,000","-2,551,000","-1,807,000","-2,359,000","-2,717,000","-4,829,000","-2,899,000","-2,507,000","-3,590,000","-6,141,000","-2,350,000","-1,954,000","-2,324,000","-4,140,000","-1,374,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.547,-1.336,-1.267,-0.668,-0.562,-0.404,-0.504,-1.895,-21.236,-24.458,-43.470,-26.289,-27.000,-39.163,-68.184,-34.256,-28.548,-34.211,-63.405,-61.110,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,254,000","-10,078,000","-6,877,000","-5,663,000","-3,892,000","-3,806,000","-2,519,000","-2,219,000","-3,102,000","-3,214,000","-2,863,000","-4,566,000","-3,452,000","-3,914,000","-3,318,000","-2,164,000","-3,049,000","-2,380,000","-4,738,000","-30,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,000","6,000","4,000","4,000","1,000",-,"1,000","1,000","2,000","5,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","12,000","11,000","12,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,259,000","-10,084,000","-6,881,000","-5,667,000","-3,893,000","-3,806,000","-2,520,000","-2,220,000","-3,104,000","-3,219,000","-2,875,000","-4,578,000","-3,464,000","-3,926,000","-3,330,000","-2,176,000","-3,060,000","-2,392,000","-4,749,000","-42,000",Upgrade,Financials in USD,Fiscal year is January - December
