Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Shares Change (YoY),32.392%,22.009%,19.313%,11.580%,7.900%,2.501%,1.080%,0.829%,0.687%,4.714%,7.679%,11.133%,11.942%,10.086%,10.735%,10.452%,10.959%,13.317%,24.219%,17.272%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.099,-0.139,-0.139,-0.138,-0.164,-0.189,-0.191,-0.185,-0.210,-0.230,-0.228,-0.204,-0.191,-0.224,-0.282,-0.207,-0.140,-0.274,-0.251,-0.158,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.099,-0.139,-0.139,-0.138,-0.166,-0.189,-0.191,-0.185,-0.210,-0.230,-0.228,-0.204,-0.191,-0.253,-0.282,-0.211,-0.140,-0.274,-0.251,-0.158,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-4,836,457","-4,602,366","-4,527,680","-4,939,578","-5,044,764","-5,862,837","-7,582,623","-4,720,229","-4,929,787","-5,860,587","-3,265,487","-4,822,982","-5,189,765","-7,200,035","-8,435,826","-6,977,719","-4,710,771","-4,477,281","-4,539,519","-4,203,496",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.078,-0.085,-0.087,-0.102,-0.108,-0.132,-0.174,-0.109,-0.114,-0.136,-0.076,-0.112,-0.121,-0.175,-0.211,-0.180,-0.123,-0.120,-0.126,-0.120,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-29571.083%,-3556.163%,-2248.998%,-19309.984%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-18835.657%,-5246.730%,-3035.497%,-15578.663%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-16495.451%,-2285.796%,-1519.626%,-11838.833%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-5,128,824","-5,686,027","-6,087,186","-5,481,254","-6,468,869","-7,196,058","-7,190,807","-6,662,006","-7,965,229","-7,740,605","-8,572,597","-7,955,445","-7,892,227","-9,908,357","-7,982,203","-8,180,234","-7,896,036","-6,418,975","-6,156,652","-6,353,663",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"991,580","984,208","988,762","1,004,633","998,653","985,699","985,439","988,543","982,939","978,786","979,262","887,930","581,409","548,222","550,795","550,682","548,874","546,624","561,691","502,540",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-6,120,404","-6,670,235","-7,075,948","-6,485,887","-7,467,522","-8,181,757","-8,176,246","-7,650,549","-8,948,168","-8,719,391","-9,551,859","-8,843,375","-8,473,636","-10,456,579","-8,532,998","-8,730,916","-8,444,910","-6,965,599","-6,718,343","-6,856,203",Upgrade,Financials in USD,Fiscal year is October - September
