Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","1,636,282","1,629,244","1,564,586","1,038,428","806,188","818,887",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,127,407","7,698,622","6,475,668","3,559,515","1,057,606","2,606,420",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,763,689","9,327,866","8,040,254","4,597,943","1,863,794","3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,763,689","-9,327,866","-8,040,254","-4,597,943","-1,863,794","-3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"268,360","436,063","215,017","27,367",832,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,495,329","-8,891,803","-7,825,237","-4,570,576","-1,862,962","-3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-10,495,329","-8,891,803","-7,825,237","-4,570,576","-1,862,962","-3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,495,329","-8,891,803","-7,825,237","-4,570,576","-1,862,962","-3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,939,577","12,848,165","12,913,848","12,944,134","9,499,155","2,257,979",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,939,577","12,848,165","12,913,848","12,944,134","9,499,155","2,257,979",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.493%,-0.509%,-0.234%,36.266%,320.693%,1012.343%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.811,-0.692,-0.606,-0.353,-0.196,-1.517,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.811,-0.692,-0.606,-0.353,-0.196,-1.517,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,568,532","-6,478,602","-6,200,027","-4,291,548","-1,152,962","-293,267",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.585,-0.504,-0.480,-0.332,-0.121,-0.130,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-10,760,077","-9,324,254","-8,036,642","-4,594,331","-1,860,185","-3,421,700",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,612","3,612","3,612","3,612","3,609","3,607",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,763,689","-9,327,866","-8,040,254","-4,597,943","-1,863,794","-3,425,307",Upgrade,Financials in USD,Fiscal year is January - December
